date,demand,competitor_price,price
2023-01-01,58,54.18936376645619,80.76575697251593
2023-01-02,88,145.56799633437552,133.40134419820015
2023-01-03,59,105.99410212701967,82.21501874247511
2023-01-04,91,117.92389802685392,116.48569159211314
2023-01-05,14,136.10060387957364,80.68128808477648
2023-01-06,39,74.21353769139479,123.55677082268097
2023-01-07,32,122.51234571071713,148.5219682921705
2023-01-08,66,69.46944466468041,119.19474962679787
2023-01-09,52,76.63867543872536,79.79925650767456
2023-01-10,89,51.275077086022,129.31318363462503
2023-01-11,63,139.61786707518246,123.21484841973378
2023-01-12,33,110.44159116595371,139.33898864764265
2023-01-13,19,142.1490321372356,130.21530402430864
2023-01-14,64,50.541123274998036,131.95018963770696
2023-01-15,10,107.12504102084029,123.86522524515092
2023-01-16,54,72.22046307171169,70.71910086652883
2023-01-17,62,126.11327487844974,106.85643502251878
2023-01-18,92,101.56468547587792,80.36743961930206
2023-01-19,46,58.41040577984867,141.0770261760553
2023-01-20,89,70.74922569052279,83.00053204139188
2023-01-21,11,72.25543010126142,157.3769955026961
2023-01-22,16,109.1740509324303,146.75627190368445
2023-01-23,92,65.98746882398686,64.68960224402446
2023-01-24,52,140.5363095534987,95.77059027545431
2023-01-25,43,71.01028418224132,109.59062031633229
2023-01-26,34,109.03060004930686,142.2554822534552
2023-01-27,30,139.48320073388356,122.10537319714564
2023-01-28,61,145.69550822990408,132.64854884027264
2023-01-29,55,64.19788483055183,102.66131654969757
2023-01-30,86,142.1559967972189,114.76969749538995
2023-01-31,75,101.42835029168336,112.9337873054082
2023-02-01,44,140.0600525698748,152.98891063734754
2023-02-02,52,72.60175228010927,91.13142411646123
2023-02-03,25,53.87228228706843,124.84700206728073
2023-02-04,65,123.36489965504511,129.9235656282751
2023-02-05,90,71.75110906923099,113.90407579003545
2023-02-06,60,111.04149575084614,145.40673395597082
2023-02-07,44,146.3991633205522,104.81760104215147
2023-02-08,96,78.7381314578344,87.16157746426126
2023-02-09,65,93.89066631172994,92.9971498790207
2023-02-10,54,132.05397370667663,85.97354917068384
2023-02-11,83,92.49309853065307,72.12655904311521
2023-02-12,88,56.00787201297077,83.11065445245112
2023-02-13,16,109.37818626487532,141.53321556892615
2023-02-14,14,107.28084934862272,103.90203352084804
2023-02-15,50,98.79901200243432,83.62365932378916
2023-02-16,29,112.99930128526202,159.79076628989506
2023-02-17,55,121.12546378010688,109.52623762143946
2023-02-18,51,106.5124991769603,60.495992387419996
2023-02-19,58,53.18507571538795,88.44192175636513
2023-02-20,38,102.79747049114391,70.43838261284854
2023-02-21,45,91.08829866249889,82.33705921518622
2023-02-22,82,50.15887481964768,153.57719200588218
2023-02-23,40,105.45607476148595,133.92643404471937
2023-02-24,32,59.943465550651574,141.51759155629918
2023-02-25,68,61.48611538024499,120.76796196101301
2023-02-26,53,126.39707554884538,117.31286760270602
2023-02-27,30,87.16928868168515,61.84922414447565
2023-02-28,84,88.86930545265167,66.39919750364727
2023-03-01,25,118.33616173908115,90.41124320824744
2023-03-02,34,104.77844460511429,102.27538785494455
2023-03-03,81,105.24738013603282,116.92260916801598
2023-03-04,23,57.00628571898451,74.7440367209756
2023-03-05,61,89.79360050913547,70.37799513682018
2023-03-06,14,115.7948583718824,130.54767138024877
2023-03-07,11,122.60724338462789,147.93353550563316
2023-03-08,17,97.07638055299073,150.8683232349012
2023-03-09,21,60.822652527957004,157.00418336790187
2023-03-10,44,78.26563008819004,93.78961905847345
2023-03-11,35,61.911463309577286,114.68243773667163
2023-03-12,12,80.34898274108107,140.01800533510766
2023-03-13,39,100.35145260178871,107.42303415556063
2023-03-14,37,133.9266316048198,158.93435877528495
2023-03-15,82,86.16359131386349,108.50402107974745
2023-03-16,87,92.6519587024489,139.4925624635723
2023-03-17,82,113.19138058264213,61.45756744810708
2023-03-18,11,147.21276048699298,157.74493640127008
2023-03-19,94,130.9608568394478,76.20251679680383
2023-03-20,67,118.18232842400003,100.44547857361687
2023-03-21,93,66.8633523923584,94.77822089506469
2023-03-22,97,105.40642626082216,87.20968623683099
2023-03-23,23,64.61312407861402,105.49141440604194
2023-03-24,58,84.79562424062095,132.76536263271325
2023-03-25,30,143.927661028197,69.38624904906946
2023-03-26,38,125.17671832187175,91.93101362576651
2023-03-27,89,51.314416544704876,136.3932736803925
2023-03-28,70,120.5153891401163,116.02014938209231
2023-03-29,79,79.196241739855,142.55111578612656
2023-03-30,29,147.62302131262715,76.95335245206175
2023-03-31,56,74.3601551655467,67.58596859134072
2023-04-01,41,67.43135278027961,91.23424627984372
2023-04-02,73,55.439653670261194,80.66616332009086
2023-04-03,96,123.49516089375997,157.46264951368204
2023-04-04,66,99.22340944755496,75.07243806150984
2023-04-05,67,80.11547627082459,98.92716095899463
2023-04-06,26,132.37430508366685,107.7703640486142
2023-04-07,26,86.6540658106318,120.5432687877404
2023-04-08,58,75.0662098415084,104.8207579404023
2023-04-09,36,135.7597276271349,113.61986705091624
2023-04-10,57,78.84743618877036,78.29775701695706
